번호,상호,영업표지,대표자,등록번호,업종
91,(주)비엔에스에프앤비,보돌미역,김지연,20170356,기타 외식
92,(주)푸디안,돈수백,이강일,20110100561,기타 외식
93,(주)고반에프앤비,고반식당,한지훈,20161125,기타 외식
94,여비내푸드시스템,여비내부잣집석쇠불고기,김령관,20140598,기타 외식
95,(주)비케이세븐코리아,삼겹시대야시장축산,김영아,20190504,기타 외식
96,(주)다이닝에스엠,화포식당,이성만,20150119,기타 외식
97,(주)씨랩,다기야,김 현,20110300030,기타 외식
98,(주)한소반,한소반쭈꾸미,장명관,20150149,기타 외식
99,(주)비케이세븐코리아,삼겹시대1900,김영아,20170417,기타 외식
100,(주)한소반,밀숲,장명관,20150027,기타 외식
101,남문숯불바베큐앤치킨본점,남문바베큐,장찬빈,20170044,기타 외식
102,(주)록원에프엔비,록원부엌,정화영,20200754,기타 외식
103,(주)제이엔케이컴퍼니,동네창고,김종근,20200752,기타 외식
104,(주)브랜드그라운드,족발맨,정명진,20190286,기타 외식
105,(주)록원에프엔비,리얼하노이,정화영,20200753,기타 외식
106,(주)원더,퍼스트플로어,김준택,20161307,기타 외식
107,(주)씨엠씨에프씨,종로상회,박정인,20110100485,기타 외식
108,(주)쉐프진,십원집,정상인,20161244,기타 외식
109,(주)대구우야지막창,대구우야지막창,권기현,20140752,기타 외식
110,(주)와이지인더스트리,쪽갈비전문점 예감,전은태,20080200188,기타 외식
111,(주)이태리상회,이태리상회,조민성,20180510,기타 외식
112,깡푸드,깡우동,김채원,20191162,기타 외식
113,(주)양연에프엔비,양연화로,엄태오,20170426,기타 외식
114,(주)바른랩,청정고을순대,김형욱,20080200257,기타 외식
115,(주)미성에프앤씨,서울만두,강상우,20180844,기타 외식
116,(주)남천에프앤비,남천할매떡볶이,송성태,20120300061,기타 외식
117,아론29(주),모찌이야기,김민수,20170235,기타 외식
118,(주)마음담음,마담순살떡볶이,장미숙,20200744,기타 외식
119,(주)트러스트,더꼬치다,"김민희, 김영규",20190139,기타 외식
120,심슨양곱창,심슨양곱창,전영현,20190820,기타 외식
121,(주)마코푸드시스템,미스터빠삭,홍재성,20180804,기타 외식
122,보리네협동조합,보리네생고깃간,손재호,20080200277,기타 외식
123,더원,양대감600,심언희,20191249,기타 외식
124,(주)다알찬,요리야 황제돈가스,홍정화,20191022,기타 외식
125,(주)환공어묵베이커리,환공어묵베이커리,윤나라,20150871,기타 외식
126,(주)제이더블유에프앤비,브런치앤다이닝37.5(Brunch&Dining37.5),김수경,20200740,기타 외식
127,파워푸드(유),명미트싸롱,명장식,20160393,기타 외식
128,파워푸드(유),명장식당,명장식,20171145,기타 외식
129,(주)다올에프엔지,신포신닭강정,김경덕,20190966,기타 외식
130,파워푸드(유),한우궁,명장식,20151008,기타 외식
131,파워푸드(유),엉뚱한상상,명장식,20170592,기타 외식
132,(주)앤리치,고돼지,명노용,20180361,기타 외식
133,파워푸드(유),대갈탕6949,명장식,20170085,기타 외식
134,파워푸드(유),쎄오1080,명장식,20160642,기타 외식
135,(주)담락,담락참치일잔,황영호,20170456,기타 외식
136,(주)이제이글로벌,샐러드박스(SaladBox),조성희,20191214,기타 외식
137,(주)다이닝팩토리,압구정곱떡,"이광호, 이대현",20200510,기타 외식
138,(주)먹깨비푸드,돈까스짱,서민경,20180812,기타 외식
139,(주)다이닝팩토리,동경푸줏간,"이광호, 이대현",20170008,기타 외식
140,(주)다이닝팩토리,전설의켄터키,"이광호, 이대현",20180742,기타 외식
141,(주)잇파라다이스,콜삼,지창식,20181147,기타 외식
142,(주)송상트레이딩,쭉심,강경원,20120100520,기타 외식
143,육성푸드(주),팔각도,조성욱,20200724,기타 외식
144,(주)씨엠월드에프앤씨,갈매기먹짱,최영구,20150532,기타 외식
145,(주)위치,WITCH COFFEE & Witch's Stick,박현자,20151270,기타 외식
146,남산에프앤씨,활짝핀메밀,오희엄,20200593,기타 외식
147,(주)잇파라다이스,감동칩스,지창식,20180393,기타 외식
148,오름푸드(주),왕돈까스&왕냉면,최종범,20170542,기타 외식
149,(주)코이,코이라멘,윤종헌,20180805,기타 외식
150,(주)다이닝팩토리,장인닭갈비,"이광호, 이대현",20160082,기타 외식
151,(주)현백,이시봉 족발보쌈,김경백,20100300049,기타 외식
152,(주)맛있는푸드,콩심,최완용 외2인,20150624,기타 외식
153,(주)더센코리아,다이닝센,류현,20140097,기타 외식
154,(주)리더스코리아코퍼레이션,곱선생,목성원,20180358,기타 외식
155,하랑은(주),하랑은상자초밥&모밀,김준,20151224,기타 외식
156,(주)하프타임,크랩크랩,한경표,20200701,기타 외식
157,(주)리더스코리아코퍼레이션,홍스쭈꾸미,목성원,20100100268,기타 외식
158,(주)포레스트에프앤디,닭꼬치브라더스,이원균,20200434,기타 외식
159,(주)달구지푸드,달구지막창,조용환,20110600016,기타 외식
160,(주)창구에프앤씨,강창구찹쌀진순대,강성구,20160924,기타 외식
161,(주)혼밥라이프,혼밥귀족,서승범,20200696,기타 외식
162,(주)명인에프엔비,만두골,성창호,20170576,기타 외식
163,(주)미라지식품,남가네설악추어탕,기정희,20080200180,기타 외식
164,(주)라이스파이,메고지고,임철준,20160624,기타 외식
165,(주)모컴테크,스크린 스타디움,최해용,20191233,기타 외식
166,(주)한백푸드앤,게고집,장영환,20190187,기타 외식
167,(주)신나게푸드,쌈빠찹쌀강정,김은주,20200249,기타 외식
168,(주)미래원에프앤씨,오징어와친구들,나유숙,20080100349,기타 외식
169,(주)비엔피푸드,빨봉분식,"박상호,김성현",20120600029,기타 외식
170,옳은식당,옳은식당,주용하,20200692,기타 외식
171,(주)올웨이즈에프앤비,껍데기클라쓰,김태훈,20190446,기타 외식
172,(주)최대패,최대패,최창진,20200688,기타 외식
173,㈜와이지,예가수제순대,정임숙,20180708,기타 외식
174,(주)아이언가이즈,치교치밥,박경준,20200686,기타 외식
175,(주)훌랄라,종로냄비,김병갑,20180175,기타 외식
176,(주)에스엠푸드,통돼지두루치기 한돈돈돈,장모란,20161189,기타 외식
177,(주)훌랄라,돈까스청춘,김병갑,20200296,기타 외식
178,(주)우리동네에프앤비,경성함바그,박종호,20150358,기타 외식
179,(주)제이에스푸드빌,88옛날통닭,박찬현,20191082,기타 외식
180,(주)훌랄라,곱닭,김병갑,20200300,기타 외식
181,(주)모닥홀딩스,도리토리,김덕중,20180808,기타 외식
182,(주)더담에프앤디아이,마키아티,이상철,20181374,기타 외식
183,(주)2대맛태,2代맛태,허승형,20170460,기타 외식
184,(주)더담에프앤디아이,육족장,이상철,20181357,기타 외식
185,(주)우리동네에프앤비,오늘스테이크,박종호,20191114,기타 외식
186,(주)씨엘파미유,시칠리아피떡,이환희,20181264,기타 외식
187,(주)귀한사람들,귀한족발,권종철,20190687,기타 외식
188,(주)아하엔파트너스,방스만두,방상봉,20151110,기타 외식
189,(주)더모모야,모모야,권혁만,20160088,기타 외식
190,화정에프앤씨(F&C),스피드런치박스(SPEED LUNCH BOX),신기동,20161149,기타 외식
191,돌빙F&B,돌빙커피,권순영,20190126,기타 외식
192,(주)우리집상사,우리집팔당닭발,윤민철,20200407,기타 외식
193,(주)디앤지컴퍼니본,너티차일드,김동관,20170313,기타 외식
194,밀포유,밀포유,김상열,20190860,기타 외식
195,(주)강남식품1번가,강남꼬치1번가,조하영,20140268,기타 외식
196,(주)비피알,바푸리쉬는시간,현미숙,20180864,기타 외식
197,(주)만호미트농업회사법인,MH백년갈비,이만호,20180061,기타 외식
198,(주)한평의꿈,이름없는 파스타,김민순,20171517,기타 외식
199,(주)비엔에프시리즈,버거앤프라이즈(Burger&Friez),유용호,20161308,기타 외식
200,(주)비피알,바푸리뽕앤까스,현미숙,20160167,기타 외식
201,(주)비피알,바푸리pho베트남쌀국수,현미숙,20170132,기타 외식
202,(주)다다컴퍼니,커피왕,안민영,20171168,기타 외식
203,(주)티아이코스모스,육봉달333,김건우,20160315,기타 외식
204,(주)그린푸드,김경옥닭발,이호진,20170018,기타 외식
205,망고트리,돈카츠프라이,김정기,20191215,기타 외식
206,망고트리,쌀국수의고수,김정기,20190647,기타 외식
207,(주)하솔에프앤비,제주은희네해장국,강민재,20170159,기타 외식
208,㈜미방,미방,이희상,20191044,기타 외식
209,(주)꼬꼬씨에프,꼬꼬씨참숯불닭갈비,임종희,20150782,기타 외식
210,(주)엠에스코리아,학보상회,이민선,20200060,기타 외식
211,(주)식의,비츠(Beetz),박정수,20200325,기타 외식
212,(주)에스엔알푸드,수누리,김연주,20080200206,기타 외식
213,(주)성공한사람들,이쿠라멘,조상현,20190374,기타 외식
214,(주)정다원,명동찌개마을,이복운,20140465,기타 외식
215,(주)진담,풍국면,"한주희, 현상국",20170922,기타 외식
216,(주)용형,배달킹안춘배,"안병훈, 안성훈",20200657,기타 외식
217,모자온달포장,모자온달,김현식,20200658,기타 외식
218,(주)농협목우촌,목우촌웰빙마을,곽민섭,20080100445,기타 외식
219,(주)세광그린푸드리테일,세광교대이층집,김슬기,20170719,기타 외식
220,(주)세광그린푸드리테일,세광교대갈비집,김슬기,20180745,기타 외식
221,(주)강경푸드,강경불고기,강경묵,20180277,기타 외식
222,(주)사모,어묵나라,홍은미,20161183,기타 외식
223,(주)세광그린푸드리테일,세광양대창,김슬기,20190916,기타 외식
224,(주)세광그린푸드리테일,세광교대골목집,김슬기,20190541,기타 외식
225,(주)토스트럭,토스트럭(TOAST LUCK),배은,20170101,기타 외식
226,(주)창구에프앤씨,낭만순대,강성구,20190582,기타 외식
227,(주)세광그린푸드리테일,오목집,김슬기,20180455,기타 외식
228,(주)농협목우촌,목우촌미소와돈,곽민섭,20100100571,기타 외식
229,올제푸드컴퍼니,원동 팔팔껍데기,류원재,20190826,기타 외식
230,행복한우동가게체인사업본부,행복한우동가게,안대희,20200648,기타 외식
231,(주)불을지키는사람들,양대포,문은숙,20200273,기타 외식
232,(주)메밀나라,메밀나라,민경전,20180045,기타 외식
233,(주)마음에프앤씨,마음카레,심훈,20191289,기타 외식
234,(주)엠디푸드시스템,막창도둑,김병철,20151228,기타 외식
235,(주)강경푸드,요가파이어,강경묵,20140480,기타 외식
236,(주)진가원푸드,"진가원 전주콩나물국밥,묵사발",진광범,20170330,기타 외식
237,(주)오니규,오니기리와이규동,이명훈,20100100210,기타 외식
238,(주)해운대엠에스,대만샌드위치 풍성호,배성문,20190337,기타 외식
239,(주)오니규,밀겨울,이명훈,20161238,기타 외식
240,대한민국을만족시킨족발,대만족,구본무,20200633,기타 외식
241,(주)와이케이푸드서비스,호토모토(HottoMotto),왕기철,20151242,기타 외식
242,(주)이에이치컴퍼니,징기스,정강우,20160481,기타 외식
243,(주)에스엠푸드,아메리칸존슨,전찬영,20170572,기타 외식
244,(주)니드플러스,일계양득,김기륜,20200110,기타 외식
245,심야,심야스테이크,윤진,20181234,기타 외식
246,(주)바른미트,소한마리몽땅무쏘,장동현,20170387,기타 외식
247,지훈남에프앤이(주),지훈남닭발,김지훈,20150701,기타 외식
248,(주)서정,심청아배고파,이판규,20080400046,기타 외식
249,(주)순곱이네프랜차이즈,순곱이네,감정희,20141217,기타 외식
250,(주)남쪽나라,오공복이,오세형,20160960,기타 외식
251,(주)엠제이오,쭈꾸미킹,이명진,20170362,기타 외식
252,(주)하늘푸드시스템,어풍당당,김태훈,20181327,기타 외식
253,(주)하늘푸드시스템,마늘은약이다 보쌈&족발,김태훈,20171126,기타 외식
254,(주)유원에프앤비,삼육칠하우스,송철호,20171523,기타 외식
255,정정아푸드(주),정정아식당,정남진,20140694,기타 외식
256,(주)금표에프앤씨,은하철도 곱곱곱,곽창훈,20151023,기타 외식
257,(주)병천아우내식품,병천황토방순대,윤석정,20080500052,기타 외식
258,(주)해운대엠에스,에바돈가츠,배성문,20200603,기타 외식
259,(주)병천아우내식품,육미명가옛날아우내순대&보쌈,윤석정,20150931,기타 외식
260,(주)제이테이블,니뽕내뽕,김현준,20130100173,기타 외식
261,대패가1900,대패가1900,김남규,20180554,기타 외식
262,샌드위코,샌드위코,이영주,20191092,기타 외식
263,(주)세광그린푸드리테일,통큰삼겹,김슬기,20200608,기타 외식
264,(주)아그집쭈꾸미,아그집쭈꾸미,이승우,20100100575,기타 외식
265,(주)제이슨코리아,이태리곱창,신상훈,20200610,기타 외식
266,(주)백채,찜샤브,이은주,20200329,기타 외식
267,(주)오칠구,맛있는 오칠구,김영석,20170549,기타 외식
268,(주)금강브루어리,바이젠하우스,임성빈,20160002,기타 외식
269,1250,오뎅1250꼬치,김용호,20180961,기타 외식
