번호,상호,영업표지,대표자,등록번호,업종
182,(주)와이더잇,그래도 고기,박정환,20200367,분식
183,와이제이건설,삼시세끼 꼬마김밥,송윤정,20200351,분식
184,마뇨떡볶이,마뇨떡볶이,이영희,20200346,분식
185,더킹에프엔씨,떡통령의 빨간철가방,"김남훈, 오세훈",20200333,분식
186,장안우동국수본점,장안우동집,김안순,20190852,분식
187,릴라식품,릴라돈가스,이선희,20120300046,분식
188,(주)더푸딩코리아,별애별떡,김민채,20200262,분식
189,앤아이앤에프앤비,딱찌문방구,이진성,20200245,분식
190,좋은F&C,참 좋은 김밥천국,박병진,20200236,분식
191,올스타떡볶이,올스타떡볶이,황대민,20200216,분식
192,깨봉이푸드,깨봉이국물떡볶이,박영선,20200206,분식
193,조아저씨김밥,조아저씨김밥,원정윤,20200190,분식
194,(주)바른정,아수라떡볶이,최봉화,20200202,분식
195,(주)오름에프씨,무공돈까스,곽환기,20200193,분식
196,제이에스컴퍼니,우리할매 떡볶이,김성환,20191342,분식
197,상개분식,상개분식,김중헌,20200205,분식
198,배달더쿡,원래는 치킨집을 할려고 했었다,김준혁,20190838,분식
199,(주)오마뎅,오마뎅,최주희,20170511,분식
200,해낸오버파워(주),열정분식소,이재영,20180650,분식
201,(주)한입소반,한입소반,이석겸,20200085,분식
202,알에스코리아,한국수,유창용,20160450,분식
203,(주)듬뿍하우스,맛있게듬뿍,한의철,20200070,분식
204,라이징푸드,떡무꼬빨닭,김유진외2명,20200053,분식
205,(주)아이더스코리아,순이네 떡볶이,장성식,20200030,분식
206,올림엔터프라이즈(OLIMENTERPRISE),엉망진창 떡볶이,안지수,20191433,분식
207,하나유통,바로그집,김영민,20191411,분식
208,(주)봉원에프앤비,명동할머니국수,정수원,20080100137,분식
209,(주)에이티컴퍼니,탄탄면공방,이상문,20180580,분식
210,진미면막국수,진미면막국수,김미연,20140685,분식
211,㈜로라컴패니,로라방앗간,박근태,20181279,분식
212,(주)일신티앤디,최배달 떡순튀,최석원,20191149,분식
213,(주)명인에프엔비,명인만두,성창호,20080200055,분식
214,웁스에프앤씨,웁스떡볶이,"허재호, 박찬용",20130100340,분식
215,(주)더블유엔씨,지지고(GGGO),노정현,20110100362,분식
216,(주)애플푸드,애플꼬마김밥,오갑진,20190599,분식
217,헤이요푸드,치킨곱하기떡볶이,김재순,20190592,분식
218,우리안,신나불고,이정희,20110600033,분식
219,(주)이쉐프코리아,라이스쉐프,김용대,20180829,분식
220,(주)홍마떡푸드,홍마떡,김유미,20190372,분식
221,(주)오리엔트푸드,석관동떡볶이,홍정화,20160327,분식
222,최가네토탈푸드,최가네크레이지떡볶이,최종문,20191246,분식
223,깨비에프앤비(깨비F&B),떡깨비,양헌철,20181086,분식
224,라온우리협동조합,수준이다른몬스터떡볶이,권성훈,20191243,분식
225,우림푸드,우림칼국수,박종준,20190500,분식
226,빨강떡볶이엠앤제이식품,쭝일아찌5단계빨강떡,권중일,20180218,분식
227,(주)놀부,공수간,안세진,20120100526,분식
228,품바푸드,빽떡 X 샨티카레,이배성,20191164,분식
229,송원F&B,알촌,박성철,20100100456,분식
230,(주)누들앤푸드,오별난멸치국수,김형일,20150674,분식
231,진짜푸드,내가진짜떡볶이다,이선동,20181056,분식
232,딸부자꼬마김밥,딸부자꼬마김밥,신정준,20180831,분식
233,(주)도시방앗간,가마솥김밥,이준수,20150300,분식
234,(주)위드미,참숯불닭발불떡볶이,이정희,20180111,분식
235,(주)위드미,핫프렌즈 핫도그,이정희,20180112,분식
236,다올에프엔씨,채다올김밥,유재은,20130518,분식
237,엄청난떡볶이,엄청난떡볶이,엄은호,20150980,분식
238,(주)장상궁,장상궁김밥,장민철,20140790,분식
239,어우리,심할머니안흥찐빵만두,"김일순, 이은지",20150899,분식
240,비에프씨F&D,부산어묵,이승헌 외 1,20170801,분식
241,해피브릿지협동조합,국수나무,김철환,20090100195,분식
242,고기복대장떡볶기,고기복대장떡볶기,박명숙,20191088,분식
243,기연에프앤비,몬나니떡볶이,김기범,20150425,분식
244,요기,요기인,노경호,20160093,분식
245,괴물떡볶이,괴물떡볶이,이혜신,20160899,분식
246,고미고미,고미고미,"김대현, 김종례",20181032,분식
247,맛있지요F&C,한입김밥,공원배,20110300016,분식
248,신군컴퍼니,빨강떡볶이 메이드 바이 신앤군컴퍼니,신재오,20170001,분식
249,(주)원더파트너스,크앙분식,송석민,20191074,분식
250,그레이프컴퍼니(주),든든한육떡,김준민,20191068,분식
251,제이비패밀리F&B,JB FAMILY DELIVERY3(제이비패밀리딜리버리3),안성빈,20191065,분식
252,(주)삼봉,마리짱,배규남,20141068,분식
253,이심전심(주),킹콩떡볶이,심규태,20130100463,분식
254,MK에프에스,바로e생멸치국수,김태완,20161263,분식
255,(주)퍼스트에이엔티,여우愛,백호근,20180565,분식
256,(주)제이에이치에프앤엘,사담손만두,한소연,20190101,분식
257,(주)유룩스인터내셔날,밥깨비,조명훈,20171276,분식
258,장호덕손만두,장호덕손만두,장호덕,20181053,분식
259,소스나라,신탕국물떡볶이,구자옥,20140250,분식
260,(주)고고푸드,고고즉석떡볶이,김재윤,20130100352,분식
261,(주)지엔에스올떡,올떡,김훈,20080100650,분식
262,(주)디엔에프씨,디델리,김정수,20080100128,분식
263,(주)에스엔인더스트리,씨앗호떡,이상준,20130100457,분식
264,공공식품,불오뎅,공경무,20120300039,분식
265,(주)서로다함께,오로지라멘,김태우,20191047,분식
266,(주)보영,보영만두,손효준,20150438,분식
267,오백제작소,오백국수,정윤진,20171173,분식
268,(주)스쿨스토어,스쿨스토어,이정란,20110100568,분식
269,(주)푸드앤푸레쉬,델리웨건등등,백성기,20130216,분식
270,뚱보아저씨,뚱보아저씨 돈가스,우갑수,20170043,분식
271,(주)쿡앤리빙,분식제일가,김한성,20160543,분식
272,신김밥&신LA갈비,신김밥,조명구,20180018,분식
273,신전푸드시스,신전떡볶이,하성호,20110600008,분식
274,(주)미셰프,파더스김밥,김호열,20150574,분식
275,(주)모음,델리웨건와작,백성기,20120100388,분식
276,(주)단오푸드,단오방,이덕희,20140719,분식
277,(주)아딸,아딸,"이현경, 정석진",20150989,분식
278,(주)더본코리아,역전우동0410,백종원,20120100352,분식
279,(주)오색만찬,서가원김밥,남재우,20140071,분식
280,(주)오색만찬,밀크밥버거,남재우,20130100447,분식
281,(주)반장푸드,반장떡볶이,강중식,20150080,분식
282,(주)피플푸드,한살짜리 꼬마김밥,"강인석, 이문현",20190979,분식
283,(주)코미니,코미니꼬마김밥,유나현,20180952,분식
284,(주)참에프앤디,싸다김밥,이재국,20170774,분식
285,(주)카모메호스피탈리티그룹,김밥의진수,최진수,20140859,분식
286,형네가게,밀방떡,박미옥,20180168,분식
287,이웃집소녀쉐프,이웃집소녀떡볶이,김범준,20130247,분식
288,(주)오투스페이스,감탄떡볶이,이경수,20170454,분식
289,(주)자연애몸,요런떡볶이,이영표,20090100298,분식
290,(주)육칠팔,천하,김기곤,20110100130,분식
291,(주)보용에프앤씨,보용만두,전명진,20090100286,분식
292,(주)제이케이푸드,레드썬,하진한,20100100241,분식
293,(유)에스피에프앤비,라밥,송평기,20190942,분식
294,(주)남도분식,남도분식,윤재욱,20190335,분식
295,(주)트로이,꾼떡,강성익,20110100481,분식
296,(주)트로이,밥앤스낵,강성익,20180873,분식
297,불여시팸,정아니의불타는여고24시떡볶이,김정환,20171357,분식
298,청우,최고강한떡볶이,"최은석, 예무순",20181068,분식
299,디비코리아,달려라달봉이떡볶이,이광우,20180790,분식
300,(주)에버리치에프앤비,몬떡,변동섭,20190878,분식
301,떡볶이창고,떡볶이창고,강성욱,20110100520,분식
302,(주)에스제이푸드시스템,마리둘둘,신봉환,20190868,분식
303,(주)무테키야,무적의돈까스,김병갑,20160921,분식
304,(주)얌샘,얌샘,김은광,20110100577,분식
305,(주)착한푸드,불땡국수,이경목,20160637,분식
306,(주)피자헤븐코리아,눈꽃치즈떡볶이,최광준,20180727,분식
307,가온컴퍼니,갈현동할머니떡볶이,이승태,20190857,분식
308,(주)인화에프엔비,만두여행,이창재,20170213,분식
309,본가경,뿅떡,안상진,20120500066,분식
310,불고기떡볶이불떡불떡천안1등본점,불떡불떡,오경수,20190841,분식
311,(주)푸름에프앤에스,토마토김밥,원묵,20100100453,분식
312,(주)행복만석,또보겠지 떡볶이집,"백부기,김진주",20190834,분식
313,(주)긱스패밀리인터내셔날,열혈분식,최은아,20190827,분식
314,(주)바인인터내셔날,리김밥,김석훈,20150522,분식
315,하늘아래(주),선릉역매운떡볶이,조현길,20181346,분식
316,마신떡볶이,마신떡볶이,최애순,20190809,분식
317,(주)이엔에프,오떡후,"정연성, 장종혁",20181197,분식
318,정명F/B,쉐프가만든떡볶이,오동호,20181275,분식
319,본푸드,본만두,김정천,20180785,분식
320,(주)혜성푸드빌,행컵,박성희,20170559,분식
321,(주)이노레시피,나는 조선의 떡볶이다,신승원,20150024,분식
322,(주)유민에프앤씨,남문떡볶이,유영민,20171261,분식
323,(주)든해자매,자매떡볶이,임희찬,20181063,분식
324,유앤아이컴퍼니,떡볶이몽테이너,류건수,20180568,분식
325,큰가마순대국&양선지해장국(본점),앰뷸런스떡볶이,박재순,20190759,분식
326,(주)동산만두,동산만두,김중문,20180033,분식
327,통오징어떡볶이,찡떡,정창선외 1명,20190744,분식
328,부송푸드,부송국수,이인구,20090400024,분식
329,백's코리아,THE끌림떡볶이,백정효,20190708,분식
330,삐사감김밥앤러브스테이크(주),삐사감김밥,강대영,20160759,분식
331,(주)부들부들,부들부들떡볶이,이충헌,20180057,분식
332,스타푸드시스템,떡볶이스타,강승천,20190701,분식
333,우럼마에프앤디,우럼마왕만두,송창석,20110100563,분식
334,효브라더스,효형제돈까스,김효성,20160874,분식
335,(주)인성에프앤비,김밥공감,원성인,20180867,분식
336,(주)용마을,용우동,이영찬,20080100233,분식
337,(주)덕자네방앗간,덕자네방앗간,정덕인,20171232,분식
338,빨간자전거,빨간자전거,문희광,20190147,분식
339,진진&몬스터,몬스터떡볶이,강성원,20190362,분식
340,(주)소소한,소소떡볶이,이희천,20190620,분식
341,(주)소디프비앤에프,밥맛나는세상,"백운학,이영균",20150473,분식
342,제이엠제이푸드,떡뽀킹,이진이,20190574,분식
343,8군푸드,8군돈까스&떡볶이,이은승,20180788,분식
344,(주)퍼스트스노우,바론 캐쥬얼푸드&카페,김정선,20181173,분식
345,(주)마리킹,마리왕,김옥희,20151256,분식
346,(주)마성떡볶이,마성떡볶이,서지범,20170147,분식
347,티제이파트너즈,삼대떡볶이,박성찬,20190520,분식
348,가메골푸드㈜,남대문가메골손만두,권오기,20190534,분식
