번호,상호,영업표지,대표자,등록번호,업종
97,(주)주원에프앤비,하바나익스프레스,김주석,20150021,커피
98,㈜디저트플러스,차뜨라므,최성민,20171312,커피
99,(주)매머드커피랩,매머드익스프레스(Mammoth Express),"최경환, 김범수",20161159,커피
100,(주)매머드커피랩,매머드커피(Mammoth coffee),"최경환, 김범수",20140725,커피
101,펩코코리아(주),Smith Barney,안성복,20180784,커피
102,(주)에소코리아,포트오브모카(Port of Mocha),심상진,20120100148,커피
103,규원,행님디저트카페,조희정,20200630,커피
104,㈜몬스터,몬스터커피,안기수,20191191,커피
105,(주)쿠오레,쿠오레(Cuore),박진성,20181375,커피
106,(주)라벨스하이디,라벨스하이디,최정삼,20180015,커피
107,(주)지제이케이홀딩스,록시드갸토(LOXID GATEAU),정요섭,20200606,커피
108,카페(cafe)마실,또잇카페(TTOEATCAFE),장미현,20200605,커피
109,켄커피(본점),켄커피,변종호,20180730,커피
110,(주)어뉴스토리,花커피 (WHA COFFEE),배윤향,20190577,커피
111,(주)케이디즈,콘레드커피,허두회,20181187,커피
112,(주)브이케이인터네셔날,킹커피(KING COFFEE),최명규,20191186,커피
113,(주)도노텀블,도노텀블,김대용,20160181,커피
114,(주)글렌인터내셔널,카페글렌,김경민,20120100559,커피
115,(주)글렌인터내셔널,발도스커피(valdos coffee),김경민,20200121,커피
116,별난커피,별난커피,이유진,20191381,커피
117,(주)라고바움,라고바움 (Lago Baum),권영배,20191387,커피
118,(주)쉬즈베이글,쉬즈베이글 커피,유재영,20181342,커피
119,(주)해리스,해리스카페,최영희,20120300060,커피
120,(주)디떼,디에떼에스프레소,한성원,20120500005,커피
121,(주)에스에이치리테일,슈퍼사이즈커피,박성현,20140913,커피
122,(주)카페원플러스원,카페원플러스원,고광택,20110300056,커피
123,(주)제이에이치컴퍼니,흑운당,박지훈,20200226,커피
124,더플롯(THEPLOT),더플롯커피(THE PLOT COFFEE),이영주,20200574,커피
125,베로,베로에스프레소 (VERO ESPRESSO),이종영,20190433,커피
126,(주)동양정수커피,핑거커피,문은경,20191222,커피
127,(주)커피집,아멜라떼,예진아,20161034,커피
128,㈜커피101스트릿,커피101스트릿(COFFEE 101 STREET),"신명규, 김주효",20161283,커피
129,(주)케이엠엘리,케이엠엘리 갤러리카페,이애라,20171492,커피
130,(주)카페원플러스원,1LiTER COFFEE,고광택,20200207,커피
131,(주)향기내는사람들,히즈빈스(HISBEANS),임정택,20180290,커피
132,더피그컴퍼니,플레이스38커피,김용환,20180659,커피
133,알리바바파트너스(주),알리바바커피앤도넛,박미연,20160512,커피
134,완뽕,완뽕,노병민,20200558,커피
135,(주)아리스타,아리스타,박혁천,20090100534,커피
136,에이피씨(주),아필코(APILCO),공지애,20171307,커피
137,(주)브이앤케이코퍼레이션,브이카페,정재학,20180422,커피
138,데일리에스프레소,데일리에스프레소(Daily espresso),이주영,20161281,커피
139,(주)한국창업경제연구소,아마떼,장정용,20110100215,커피
140,연두커피인터내셔날(주),드립앤더치,여선구,20120100532,커피
141,커피나뜨래,커피나뜨래,홍계식,20180473,커피
142,반할커피,반할커피,이성호,20191105,커피
143,커피셀러,커피셀러,윤종근,20190921,커피
144,(주)더,더리터(THE LITER),"김대환, 김나미",20151202,커피
145,(주)그레닉스,빌리엔젤,김종헌,20130139,커피
146,(주)카페폴인,어벤더치커피,양기환,20170357,커피
147,(주)우주에프앤디,우주라이크앤,이우성,20170579,커피
148,(주)더로열푸드앤베버리지,스위티두,이재열,20191137,커피
149,(주)그레닉스,평화다방,김종헌,20200022,커피
150,(주)제이윈스(Jwins),더마스터커피,하은재,20171453,커피
151,봉명동내커피,봉명동내커피,김지우,20190955,커피
152,(주)티제이커피기업,커피기업,조태준,20191422,커피
153,베티스,베티스 커피,지바다,20200539,커피
154,카페유어프레즌트,카페 유어 프레즌트,권정기,20200548,커피
155,반반스프링스,반반스프링스커피(BANBANSPRINGS COFFEE),강영모,20191280,커피
156,(주)마스터코리아,모캄보,황기숙,20080600034,커피
157,한글코리아,한글빵카페,설기환,20200532,커피
158,커피란워시데이,커피란워시데이,허영란,20190103,커피
159,(주)코나헤이븐코리아,코나헤이븐(KONA HAVEN),한인종,20200058,커피
160,(주)아슬란,장산다방,이동호,20200520,커피
161,(주)커피볶는집,커피볶는집,이영숙,20090400036,커피
162,백금당,백금당,최정락,20180332,커피
163,(주)쿠카쿠,쿠카쿠,이유진,20170671,커피
164,(주)카페발트,블랙라인커피,최영우,20160061,커피
165,(주)휴먼앤네이쳐,카페 떼오,백운혁,20200357,커피
166,인터베이스,베라오커피,김수연,20130263,커피
167,(유)워너커피,워너커피(WANNA COFFEE),권혁용,20151104,커피
168,카페코나퀸즈(주),카페코나퀸즈,한림,20150515,커피
